codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,290.0,42.3,23.9,2.8,Argenfood - Universidad Nacional de Luján
,,89.0,11.9,8.4,0.9,Argenfood - Universidad Nacional de Luján
,,45.0,,2.5,0.4,Argenfood - Universidad Nacional de Luján
,,354.0,,13.8,5.1,Argenfood - Universidad Nacional de Luján
,,341.0,,4.4,1.0,Argenfood - Universidad Nacional de Luján
,,29.0,,1.3,0.1,Argenfood - Universidad Nacional de Luján
,,,,2.2,,Argenfood - Universidad Nacional de Luján
,,54.0,,2.4,,Argenfood - Universidad Nacional de Luján
,,36.0,,1.0,,Argenfood - Universidad Nacional de Luján
,,58.0,,4.4,0.5,Argenfood - Universidad Nacional de Luján
,,17.0,,2.4,,Argenfood - Universidad Nacional de Luján
,,16.0,,2.2,,Argenfood - Universidad Nacional de Luján
,,85.0,,3.5,1.0,Argenfood - Universidad Nacional de Luján
,,356.0,11.2,34.6,24.2,Argenfood - Universidad Nacional de Luján
,,336.0,,2.0,,Argenfood - Universidad Nacional de Luján
,,55.0,,0.1,,Argenfood - Universidad Nacional de Luján
,,20.0,,1.0,,Argenfood - Universidad Nacional de Luján
,,21.0,,1.0,,Argenfood - Universidad Nacional de Luján
,,11.0,,1.0,,Argenfood - Universidad Nacional de Luján
,,23.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján
,,,,1.1,,Argenfood - Universidad Nacional de Luján
,,,,,,Argenfood - Universidad Nacional de Luján
,,22.0,,1.0,,Argenfood - Universidad Nacional de Luján
,,13.0,,0.8,,Argenfood - Universidad Nacional de Luján
,,16.0,,1.3,,Argenfood - Universidad Nacional de Luján
,,144.0,,1.5,13.5,Argenfood - Universidad Nacional de Luján
,,58.0,,0.4,0.2,Argenfood - Universidad Nacional de Luján
,,87.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján
,,99.0,,1.2,0.2,Argenfood - Universidad Nacional de Luján
,,68.0,,1.1,0.5,Argenfood - Universidad Nacional de Luján
,,56.0,,0.7,0.2,Argenfood - Universidad Nacional de Luján
,,255.0,,1.9,0.1,Argenfood - Universidad Nacional de Luján
,,165.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján
