codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,50.0,,3.7,1.4,Argenfood - Universidad Nacional de Luján
,,70.0,,1.7,0.7,Argenfood - Universidad Nacional de Luján
,,190.0,,21.0,12.0,Argenfood - Universidad Nacional de Luján
,,114.0,,22.0,3.2,Argenfood - Universidad Nacional de Luján
,,120.0,,21.0,3.9,Argenfood - Universidad Nacional de Luján
,,143.0,,21.0,6.7,Argenfood - Universidad Nacional de Luján
,,116.0,,22.0,2.6,Argenfood - Universidad Nacional de Luján
,,106.0,,22.0,1.7,Argenfood - Universidad Nacional de Luján
,,125.0,,19.0,5.5,Argenfood - Universidad Nacional de Luján
,,132.0,,20.0,6.1,Argenfood - Universidad Nacional de Luján
,,116.0,,20.0,3.7,Argenfood - Universidad Nacional de Luján
,,125.0,,23.0,1.9,Argenfood - Universidad Nacional de Luján
,,139.0,,20.0,6.5,Argenfood - Universidad Nacional de Luján
,,154.0,,22.0,7.6,Argenfood - Universidad Nacional de Luján
,,174.0,,20.0,11.0,Argenfood - Universidad Nacional de Luján
,,211.0,,20.0,15.0,Argenfood - Universidad Nacional de Luján
,,98.0,0.8,18.0,2.5,Argenfood - Universidad Nacional de Luján
,,95.0,0.6,19.0,2.0,Argenfood - Universidad Nacional de Luján
,,139.0,6.4,16.0,5.7,Argenfood - Universidad Nacional de Luján
,,79.0,2.4,16.0,0.4,Argenfood - Universidad Nacional de Luján
,,134.0,1.5,22.0,4.6,Argenfood - Universidad Nacional de Luján
,,288.0,,14.2,3.2,Argenfood - Universidad Nacional de Luján
,,337.0,,19.8,0.8,Argenfood - Universidad Nacional de Luján
,,333.0,,19.6,1.2,Argenfood - Universidad Nacional de Luján
,,336.0,,20.0,0.9,Argenfood - Universidad Nacional de Luján
,,336.0,,21.5,1.0,Argenfood - Universidad Nacional de Luján
,,326.0,,21.0,0.5,Argenfood - Universidad Nacional de Luján
,,306.0,,20.6,1.0,Argenfood - Universidad Nacional de Luján
,,336.0,,26.0,1.1,Argenfood - Universidad Nacional de Luján
,,328.0,,18.2,1.1,Argenfood - Universidad Nacional de Luján
,,322.0,,16.6,0.6,Argenfood - Universidad Nacional de Luján
,,336.0,,25.3,0.8,Argenfood - Universidad Nacional de Luján
,,368.0,,36.9,6.8,Argenfood - Universidad Nacional de Luján
,,33.0,,2.6,0.4,Argenfood - Universidad Nacional de Luján
,,43.0,,3.1,0.8,Argenfood - Universidad Nacional de Luján
,,60.0,,4.1,0.7,Argenfood - Universidad Nacional de Luján
,,49.0,,1.6,1.0,Argenfood - Universidad Nacional de Luján
,,59.0,,3.2,1.6,Argenfood - Universidad Nacional de Luján
,,84.0,,4.7,1.7,Argenfood - Universidad Nacional de Luján
,,49.0,,1.1,1.6,Argenfood - Universidad Nacional de Luján
,,260.0,,6.2,1.6,Argenfood - Universidad Nacional de Luján
,,337.0,,5.3,7.9,Argenfood - Universidad Nacional de Luján
,,317.0,,7.3,7.5,Argenfood - Universidad Nacional de Luján
,,314.0,,6.5,6.6,Argenfood - Universidad Nacional de Luján
,,377.0,,20.0,31.1,Argenfood - Universidad Nacional de Luján
,,168.0,,11.6,11.7,Argenfood - Universidad Nacional de Luján
,,104.0,,11.5,4.0,Argenfood - Universidad Nacional de Luján
,,218.0,,17.3,16.5,Argenfood - Universidad Nacional de Luján
,,248.0,,20.5,18.4,Argenfood - Universidad Nacional de Luján
,,175.0,,18.4,11.3,Argenfood - Universidad Nacional de Luján
,,199.0,,21.0,12.8,Argenfood - Universidad Nacional de Luján
,,46.0,,23.9,3.7,Argenfood - Universidad Nacional de Luján
,,199.0,0.0,21.0,12.8,Argenfood - Universidad Nacional de Luján
,,248.0,0.0,20.5,18.4,Argenfood - Universidad Nacional de Luján
,,136.0,9.8,14.2,4.4,Argenfood - Universidad Nacional de Luján
,,139.0,9.8,13.7,5.0,Argenfood - Universidad Nacional de Luján
,,211.0,10.8,11.3,13.6,Argenfood - Universidad Nacional de Luján
,,209.0,10.5,11.8,13.4,Argenfood - Universidad Nacional de Luján
,,,11.9,2.2,1.1,Argenfood - Universidad Nacional de Luján
,,,11.3,2.4,1.0,Argenfood - Universidad Nacional de Luján
,,57.5,10.7,1.9,0.8,Argenfood - Universidad Nacional de Luján
,,97.2,17.8,3.3,1.4,Argenfood - Universidad Nacional de Luján
,,171.0,21.4,4.5,7.5,Argenfood - Universidad Nacional de Luján
,,157.4,20.9,4.2,6.3,Argenfood - Universidad Nacional de Luján
,,,,,,Argenfood - Universidad Nacional de Luján
,,125.6,21.1,2.8,3.6,Argenfood - Universidad Nacional de Luján
,,280.4,32.1,4.2,15.0,Argenfood - Universidad Nacional de Luján
,,228.6,28.3,3.8,11.8,Argenfood - Universidad Nacional de Luján
,,309.0,33.0,4.2,17.8,Argenfood - Universidad Nacional de Luján
