codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo,porcion_g,descripcion,carbohidratos_por_porcion
,,129.0,,8.2,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,668.0,,12.7,60.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,84.0,,1.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,92.0,,1.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,212.0,,1.7,7.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,28.0,,1.1,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,23.0,,1.7,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,37.0,,3.3,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,25.0,,1.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,731.0,,18.1,72.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,17.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,10.0,,0.6,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,31.0,,2.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,22.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,24.0,,1.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,26.0,,2.2,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,24.0,,3.9,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,13.0,,2.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,125.0,,6.1,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,99.0,,6.7,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,24.0,,1.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,350.0,,20.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,576.0,,33.2,44.3,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,592.0,,34.8,45.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,51.0,,4.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,10.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,11.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,715.0,,13.9,67.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,88.0,,2.7,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,88.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,162.0,,2.9,6.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,15.0,,0.7,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,60.0,,3.7,1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,221.0,,14.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,648.0,,22.3,54,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,290.0,42.3,23.9,2.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,21.15
,,89.0,11.9,8.4,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,5.95
,,45.0,,2.5,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,354.0,,13.8,5.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,341.0,,4.4,1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,29.0,,1.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,2.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,54.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,36.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,58.0,,4.4,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,17.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,16.0,,2.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,85.0,,3.5,1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,356.0,11.2,34.6,24.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,5.6
,,336.0,,2.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,55.0,,0.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,20.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,21.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,11.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,23.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,1.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,,,,,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,22.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,13.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,16.0,,1.3,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,144.0,,1.5,13.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,58.0,,0.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,87.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,99.0,,1.2,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,68.0,,1.1,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,56.0,,0.7,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,255.0,,1.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,165.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,382.0,,3.4,34.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,57.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,51.0,,0.5,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,75.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,40.0,,2.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,41.0,,0.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,75.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,88.0,,1.4,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,87.0,,0.8,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
